soldier,士兵 (n.),The soldier stood guard all night.,这名士兵整夜站岗。
hunt,狩猎 (v.),We plan to hunt for deer this weekend.,我们计划周末去猎鹿。
high-rise,高层建筑 (n.),She lives in a high-rise downtown.,她住在市中心的高层建筑里。
staff,员工 (n.),The hotel staff were exceptionally helpful.,酒店员工格外乐于助人。
sandy,沙质的 (adj.),The kids played on the sandy beach.,孩子们在沙质海滩上玩耍。
base,基地 (n.),The military base is heavily guarded.,这个军事基地戒备森严。
ceremony,仪式 (n.),The graduation ceremony was moving.,毕业典礼令人感动。
bullet,子弹 (n.),A bullet whizzed past his ear.,一颗子弹从他耳边呼啸而过。
fair,公平的 (adj.),That's not a fair way to decide.,那不是公平的决定方式。
responsibility,责任 (n.),Taking responsibility is part of growing up.,承担责任是成长的一部分。
basket,篮子 (n.),She carried fruits in a woven basket.,她用编织篮子装水果。
flee,逃跑 (v.),They had to flee the burning building.,他们不得不逃离燃烧的大楼。
chimney,烟囱 (n.),Smoke rose from the brick chimney.,烟从砖砌烟囱升起。
collar,衣领 (n.),He straightened his shirt collar nervously.,他紧张地整理衬衫领子。
plea,恳求 (n.),Her plea for help went unanswered.,她的求助恳求无人回应。
Shakespeare,莎士比亚 (n.),Shakespeare's plays are timeless classics.,莎士比亚的戏剧是永恒经典。
quote,引用 (v.),He likes to quote famous philosophers.,他喜欢引用著名哲学家的话。
borrow,借 (v.),Can I borrow your pen for a moment?,我能借你的笔用一下吗？
explanation,解释 (n.),Her explanation cleared up the confusion.,她的解释消除了困惑。
jewel,宝石 (n.),The crown was set with rare jewels.,王冠上镶嵌着稀有宝石。
thief,小偷 (n.),The thief was caught on camera.,小偷被摄像头拍到了。
twentieth,第二十 (adj.),This is his twentieth birthday celebration.,这是他第二十个生日庆祝。
highway,高速公路 (n.),We drove fast on the empty highway.,我们在空旷高速上开得很快。
dispatch,派遣 (v.),They'll dispatch a team immediately.,他们将立即派遣一个小组。
mechanics,力学 (n.),Physics students study mechanics deeply.,物理学生深入学习力学。
faithful,忠诚的 (adj.),His dog remained faithful until the end.,他的狗始终忠诚如一。
plastic,塑料 (n.),Avoid using single-use plastic items.,避免使用一次性塑料制品。
alert,警觉的 (adj.),Stay alert in unfamiliar areas.,在陌生区域保持警觉。
clothes,衣服 (n.),She donated her old clothes to charity.,她把旧衣服捐给了慈善机构。
shut,关闭 (v.),Please shut the door quietly.,请轻声关上门。
cacti,仙人掌 (n.),Cacti thrive in arid desert conditions.,仙人掌在干旱沙漠环境中茁壮成长。
exceptionally,异常地 (adv.),She performed exceptionally well today.,她今天表现得异常出色。
kettle,水壶 (n.),The kettle whistled when water boiled.,水烧开时水壶发出鸣声。
laundry,洗衣 (n.),I need to do laundry this afternoon.,今天下午我得洗衣服。
cash,现金 (n.),He paid for the meal in cash.,他用现金支付了餐费。
electrical,电的 (adj.),Check the electrical wiring regularly.,定期检查电线线路。
reply,回复 (v.),She didn't reply to my message yet.,她还没回复我的消息。
thrust,猛推 (v.),He thrust the documents into my hands.,他把文件猛推到我手里。
color,颜色 (n.),What's your favorite color for walls?,你最喜欢什么墙面颜色？
couch,沙发 (n.),We relaxed on the comfortable couch.,我们在舒适沙发上放松休息。
convert,v. 转换,He decided to convert his garage into a home office.,他决定把车库改造成家庭办公室。
startle,v. 使吃惊,The loud noise startled the sleeping cat.,巨大的声响惊醒了睡着的猫。
whereby,adv. 凭借,They devised a plan whereby everyone could participate.,他们想出了一个让所有人都能参与的计划。
tax,n. 税,High income tax can discourage hard work.,高收入税可能打击工作积极性。
athletes,n. 运动员,Professional athletes train rigorously every day.,职业运动员每天进行严格训练。
curb,v. 抑制,We must curb our spending to save money.,我们必须控制开支来省钱。
patterns,n. 模式,Weather patterns are changing due to global warming.,由于全球变暖，天气模式正在改变。
mythical,adj. 神话的,Dragons are mythical creatures in many cultures.,龙是许多文化中的神话生物。
dragon,n. 龙,The dragon in the story breathed fire.,故事中的龙会喷火。
affiliate,v. 附属,She decided to affiliate with a larger organization.,她决定加入一个更大的组织。
scheme,n. 计划,The government launched a new housing scheme.,政府启动了一项新的住房计划。
fashionable,adj. 时尚的,Wearing vintage clothes is fashionable now.,现在穿复古衣服很时髦。
plough,v. 犁地,Farmers plough the fields in spring.,农民在春天犁地。
businesses,n. 企业,Small businesses often struggle with competition.,小企业常常在竞争中挣扎。
